2021-02-01 00:00, 0.001
2021-02-01 00:03, 0.008
2021-02-01 00:06, 0.015
2021-02-01 00:09, 0.021
2021-02-01 00:12, 0.028
2021-02-01 00:15, 0.035
2021-02-01 00:18, 0.042
2021-02-01 00:21, 0.046
2021-02-01 00:24, 0.05
2021-02-01 00:27, 0.056
2021-02-01 00:30, 0.062
2021-02-01 00:33, 0.069
2021-02-01 00:36, 0.076
2021-02-01 00:39, 0.083
2021-02-01 00:42, 0.09
2021-02-01 00:45, 0.096
2021-02-01 00:48, 0.103
2021-02-01 00:51, 0.11
2021-02-01 00:54, 0.117
2021-02-01 00:57, 0.134
2021-02-01 01:00, 0.152
2021-02-01 01:03, 0.17
2021-02-01 01:06, 0.188
2021-02-01 01:09, 0.206
2021-02-01 01:12, 0.224
2021-02-01 01:15, 0.241
2021-02-01 01:18, 0.245
2021-02-01 01:21, 0.247
2021-02-01 01:24, 0.253
2021-02-01 01:27, 0.259
2021-02-01 01:30, 0.265
2021-02-01 01:33, 0.27
2021-02-01 01:36, 0.276
2021-02-01 01:39, 0.281
2021-02-01 01:42, 0.287
2021-02-01 01:45, 0.292
2021-02-01 01:48, 0.297
2021-02-01 01:51, 0.303
2021-02-01 01:54, 0.308
2021-02-01 01:57, 0.311
2021-02-01 02:00, 0.314
2021-02-01 02:06, 0.318
2021-02-01 02:09, 0.32
2021-02-01 02:12, 0.322
2021-02-01 02:15, 0.324
2021-02-01 02:18, 0.329
2021-02-01 02:21, 0.334
2021-02-01 02:24, 0.339
2021-02-01 02:27, 0.344
2021-02-01 02:30, 0.349
2021-02-01 02:33, 0.354
2021-02-01 02:36, 0.357
2021-02-01 02:39, 0.359
2021-02-01 02:42, 0.361
2021-02-01 02:45, 0.363
2021-02-01 02:48, 0.365
2021-02-01 02:51, 0.367
2021-02-01 02:54, 0.369
2021-02-01 02:57, 0.372
2021-02-01 03:00, 0.377
2021-02-01 03:03, 0.382
2021-02-01 03:06, 0.387
2021-02-01 03:09, 0.392
2021-02-01 03:12, 0.397
2021-02-01 03:15, 0.401
2021-02-01 03:18, 0.403
